par_pctile,kid_race,gender,n_kir,kir
58,Hispanic,F,10500,47.990002
58,Hispanic,M,10000,56.169998
58,AIAN,F,750,42.919998
58,AIAN,M,750,47.780003
59,White,F,76500,46.990002
59,White,M,79500,58.329998
59,Black,F,9000,48.82
59,Black,M,8900,46.720001
59,Asian,F,2700,59.59
59,Asian,M,2900,61.16
59,Hispanic,F,10000,48.23
59,Hispanic,M,9800,55.5
59,AIAN,F,700,38.790001
59,AIAN,M,700,47.990002
60,White,F,76500,47.029999
60,White,M,80500,58.59
60,Black,F,8800,48.849998
60,Black,M,8500,47.369999
60,Asian,F,2800,59.390003
60,Asian,M,2900,61.449997
60,Hispanic,F,9900,47.880001
60,Hispanic,M,9900,55.949997
60,AIAN,F,700,43.669998
60,AIAN,M,700,47.990002
61,White,F,77000,47.23
61,White,M,81000,58.850002
61,Black,F,8400,49.07
61,Black,M,8700,47.369999
61,Asian,F,2800,59.130001
61,Asian,M,2800,62.029999
61,Hispanic,F,9700,48.09
61,Hispanic,M,9500,56.040001
61,AIAN,F,700,41.610001
61,AIAN,M,700,50.510002
62,White,F,77500,47.52
62,White,M,81500,58.999996
62,Black,F,8400,49.489998
62,Black,M,8300,47.790001
62,Asian,F,2800,59.810001
62,Asian,M,2900,63.32
62,Hispanic,F,9300,48.509998
62,Hispanic,M,9400,56.770004
62,AIAN,F,650,44.130001
62,AIAN,M,700,49.779999
63,White,F,78000,47.93
63,White,M,82500,59.530003
63,Black,F,8100,49.110001
63,Black,M,8000,48.100002
63,Asian,F,2700,59.700001
63,Asian,M,2800,62.800003
63,Hispanic,F,9000,48.5
63,Hispanic,M,9200,56.590004
63,AIAN,F,650,39.860001
63,AIAN,M,700,48.989998
64,White,F,78500,47.950001
64,White,M,83000,59.799999
64,Black,F,7900,49.48
64,Black,M,7800,47.790001
64,Asian,F,2800,60.68
64,Asian,M,2900,63.209999
64,Hispanic,F,8900,48.470001
64,Hispanic,M,8800,57.279999
64,AIAN,F,650,42.239998
64,AIAN,M,650,48.32
65,White,F,79000,48.400002
65,White,M,83000,59.780003
65,Black,F,7800,49.689999
65,Black,M,7800,48.34
65,Asian,F,2800,59.549999
65,Asian,M,2900,63.91
65,Hispanic,F,8800,48.879997
65,Hispanic,M,8700,56.739998
65,AIAN,F,600,42.919998
65,AIAN,M,650,48.139999
66,White,F,79000,48.509998
66,White,M,83500,60.049999
66,Black,F,7600,49.559998
66,Black,M,7600,47.950001
66,Asian,F,2800,59.640003
66,Asian,M,2900,62.970001
66,Hispanic,F,8700,49.16
66,Hispanic,M,8600,56.610001
66,AIAN,F,600,42.110001
66,AIAN,M,600,48.209999
67,White,F,79500,48.779999
67,White,M,84000,60.490002
67,Black,F,7500,50.029999
67,Black,M,7500,48.489998
67,Asian,F,2900,61.080002
67,Asian,M,3000,62.370003
67,Hispanic,F,8400,48.809998
67,Hispanic,M,8400,57.309998
67,AIAN,F,650,42.77
67,AIAN,M,600,49.779999
68,White,F,80000,48.919998
68,White,M,84000,60.610001
68,Black,F,7400,50.209999
68,Black,M,7400,49.099998
68,Asian,F,2800,60.970001
68,Asian,M,2900,63.410004
68,Hispanic,F,8400,49.219997
68,Hispanic,M,8400,57.480003
68,AIAN,F,600,44.490002
68,AIAN,M,600,51.150002
69,White,F,80500,49.219997
69,White,M,85000,61.040001
69,Black,F,7000,50.590004
69,Black,M,7300,49.57
69,Asian,F,2800,61.729996
69,Asian,M,2900,63.43
69,Hispanic,F,8200,49.889999
69,Hispanic,M,7900,57.190002
69,AIAN,F,600,44.610001
69,AIAN,M,600,50.059998
70,White,F,81000,49.5
70,White,M,85000,61.220001
70,Black,F,7000,50.980003
70,Black,M,6900,49.5
70,Asian,F,2700,62.059998
70,Asian,M,2900,64.310005
70,Hispanic,F,8000,49.59
70,Hispanic,M,7900,58.16
70,AIAN,F,550,44.760002
70,AIAN,M,600,51.43
71,White,F,81500,49.849998
71,White,M,85500,61.580002
71,Black,F,6800,50.959999
71,Black,M,6800,49.829998
71,Asian,F,2800,61.479996
